,number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_merged_1_dropout,params_merged_1_size,params_merged_2_dropout,params_merged_2_size,params_merged_3_dropout,params_merged_3_size,state
0,0,0.5188679245283019,2024-03-04 21:52:58.559667,2024-03-04 21:53:19.388937,0 days 00:00:20.829270,0.08376388146302438,0.32052590763315647,198,0.3877875879142253,59,0.2692425840497844,27,COMPLETE
1,1,0.8018867924528302,2024-03-04 21:53:19.389808,2024-03-04 21:53:57.536416,0 days 00:00:38.146608,1.7326529663635617e-05,0.23727120646034777,196,0.3916198829536167,78,0.27542889787184976,35,COMPLETE
2,2,0.7547169811320755,2024-03-04 21:53:57.537444,2024-03-04 21:54:10.739603,0 days 00:00:13.202159,0.003448290408913141,0.17018070245899702,140,0.31262054953673535,103,0.3127310348387464,24,COMPLETE
3,3,0.7641509433962265,2024-03-04 21:54:10.741429,2024-03-04 21:54:48.330911,0 days 00:00:37.589482,8.185645330667251e-05,0.38897735302808867,227,0.22918356554127128,102,0.24471546224892565,45,COMPLETE
4,4,0.7735849056603774,2024-03-04 21:54:48.332715,2024-03-04 21:55:07.829468,0 days 00:00:19.496753,0.0005050346330980692,0.27348046907181134,120,0.2723451053318575,93,0.2974740390601225,20,COMPLETE
5,5,0.8018867924528302,2024-03-04 21:55:07.830506,2024-03-04 21:55:44.127836,0 days 00:00:36.297330,2.9005047452739398e-05,0.4776640072815519,124,0.30073467035373463,73,0.3495811807168445,59,COMPLETE
6,6,0.7924528301886793,2024-03-04 21:55:44.128865,2024-03-04 21:55:57.919838,0 days 00:00:13.790973,0.0011965765212602305,0.2001821461586027,125,0.29321370570508176,72,0.494223914244282,58,COMPLETE
7,7,0.7735849056603774,2024-03-04 21:55:57.920877,2024-03-04 21:56:33.690388,0 days 00:00:35.769511,0.00016462021179757346,0.34122405136437095,182,0.318027202586586,43,0.23710553350972338,56,COMPLETE
8,8,0.8207547169811321,2024-03-04 21:56:33.691460,2024-03-04 21:56:46.748603,0 days 00:00:13.057143,0.0031594683442464013,0.30416893499120445,144,0.367725513184909,98,0.33437462102488513,58,COMPLETE
9,9,0.7924528301886793,2024-03-04 21:56:46.749578,2024-03-04 21:56:58.777015,0 days 00:00:12.027437,0.0019490717640641528,0.4054731365773353,194,0.19746654981474962,113,0.17768918423150837,20,COMPLETE
10,10,0.6415094339622641,2024-03-04 21:56:58.777989,2024-03-04 21:57:06.076533,0 days 00:00:07.298544,0.01757877851392942,0.10322445736160829,82,0.49524339572605136,128,0.40533952752628893,47,COMPLETE
